变量名,中文含义,类型,取值或说明,变量用途
所在区域,所在区域,分类变量,"华东/华南/华北/华中/西南/西北",group
年龄段,受访者年龄段,有序分类,"18-30岁/31-45岁/46-60岁/60岁以上",group
办事渠道,办事使用渠道,分类变量,"线上平台/政务大厅/自助终端/社区服务点/电话热线",group
办理时长_分钟,办理业务所用时长（分钟）,数值变量,"范围 3-80 分钟",predictor
服务态度评分,对工作人员服务态度的评分,有序分类,"1=非常不满意,2=不满意,3=一般,4=满意,5=非常满意",predictor
政策清晰度,对政策信息清晰度的评分,有序分类,"1=非常不满意,2=不满意,3=一般,4=满意,5=非常满意",predictor
等待时长满意度,对等待时间的满意度,有序分类,"1=非常不满意,2=不满意,3=一般,4=满意,5=非常满意",predictor
总体满意度,总体服务满意度,有序分类,"1=非常不满意,2=不满意,3=一般,4=满意,5=非常满意",target
是否满意,对服务是否满意,二分类,"满意/不满意",target
是否再次使用,是否愿意再次使用该服务,二分类,"是/否",target
意见建议,受访者意见建议,文本,开放式文本,skip
